Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Incomplete,Total Grades for Course
2015 Fall,African American Studies,AFRICAM,African American Studies,R1A,2,Fresh Composition,Aparajita Nanda,503,,4,4,6,2,,,2,,,,,,,18
2015 Fall,African American Studies,AFRICAM,African American Studies,R1B,1,Freshmn Composition,Aparajita Nanda,509,,5,5,2,3,,,,,,,,,,15
2015 Fall,African American Studies,AFRICAM,African American Studies,R1B,2,Freshmn Composition,Gabrielle Williams; Leigh Raiford,515,,1,6,2,2,2,,,,,1,,,,14
2015 Fall,African American Studies,AFRICAM,African American Studies,4A,1,Africa: Hist & Cul,G. Ugo Nwokeji,521,,7,16,10,7,6,,,,3,,,1,1,61
2015 Fall,African American Studies,AFRICAM,African American Studies,5A,1,Afam Life & Cul U S,Leigh Raiford; Michael Mcgee,533,,22,18,11,5,1,,,,,1,,,,60
2015 Fall,African American Studies,AFRICAM,African American Studies,11A,1,Elementary Swahili,David Kyeu,548,1,4,2,4,,,,,,,,,,,11
2015 Fall,African American Studies,AFRICAM,African American Studies,27AC,1,Lives/Strug/Maj Cul,Michael Cohen,557,,37,30,12,10,5,1,,,,,,3,2,118
2015 Fall,African American Studies,AFRICAM,African American Studies,98,7,Directed Group Stdy,Leigh Raiford; Sonya Dugas,593,,,,,,,,,,,,,,,27
2015 Fall,African American Studies,AFRICAM,African American Studies,100,1,Black Intllctl Thgh,Leigh Raiford,620,,3,7,4,4,,1,,,,,1,,1,23
2015 Fall,African American Studies,AFRICAM,African American Studies,111,1,Race Class Gen U S,Stephen Small,626,3,9,5,7,5,4,,1,,,,,1,1,45
2015 Fall,African American Studies,AFRICAM,African American Studies,116,1,Slavery And African,Mariko Pegs; Ula Taylor,629,,5,10,8,5,1,5,2,1,2,1,1,1,,48
2015 Fall,African American Studies,AFRICAM,African American Studies,126,1,Africn Am Women His,Ula Taylor,635,,1,1,3,2,2,1,,,,,,,,12
2015 Fall,African American Studies,AFRICAM,African American Studies,C133A,1,Race Urban Sch,Kihana Ross; Matthew Horton; Nailah Suad-Bakari,638,5,7,1,,,,,,,,,,,1,14
2015 Fall,African American Studies,AFRICAM,African American Studies,C134,1,Info Tech And Soc,Michel Laguerre,641,,9,4,,1,,,,,,,,,,14
2015 Fall,African American Studies,AFRICAM,African American Studies,137,1,Multicultural Comm,Michel Laguerre,644,,14,,2,,,,,,,,,,1,17
2015 Fall,African American Studies,AFRICAM,African American Studies,139,1,Sel Top:Africam Soc,Nikki Jones,647,9,26,10,3,3,,,,,,,,1,,53
2015 Fall,African American Studies,AFRICAM,African American Studies,139,2,Sel Top:Africam Soc,Hardy Frye; Sonya Dugas,649,,1,1,4,,1,,1,,,,,,,11
2015 Fall,African American Studies,AFRICAM,African American Studies,144,1,Cultural Studies,Leigh Raiford,653,,5,8,5,5,2,1,2,1,,1,,1,,33
2015 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C1,1,Intro To Env Econ,Peter Berck,1203,3,18,3,6,4,8,2,5,,,2,,,,58
2015 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,100,1,Microecon Theory,Ethan Ligon,1221,2,50,17,4,4,3,,1,,1,2,1,1,,94
2015 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C102,1,Nat Res Econ,Larry Karp,1236,,6,11,8,18,7,1,1,,,1,,1,,58
2015 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C115,1,Bioresource Models,Wayne Getz,1251,1,1,3,3,2,5,,,3,1,,,,,20
2015 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C118,1,Intro Econometrics,Elisabeth Sadoulet,1260,9,5,7,13,3,7,7,4,3,,1,,2,,61
2015 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,145,1,Hlth & Env Econ,Michael Anderson,1269,2,19,4,9,29,4,10,4,2,,,,,,85
2015 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C151,1,Economic Develop,Aprajit Mahajan,1272,1,19,5,11,16,5,13,5,6,3,,,2,,90
2015 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,152,1,Adv Topics Dev/Trad,Jeremy Magruder,1287,2,5,1,4,3,3,1,1,1,,,,,,24
2015 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C180,1,Ecol Econ History,Jalel Sager,1322,3,4,11,11,1,1,2,1,,,,,,,35
2015 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C181,1,International Trade,Andres Rodriguez-Clare,1323,,11,8,7,12,2,1,3,,,,,1,,46
2015 Fall,Anthropology,ANTHRO,Anthropology,2AC,1,Intro Archaeology,Laurie Wilkie,2303,19,74,38,19,19,15,4,8,7,,4,1,5,,284
2015 Fall,Anthropology,ANTHRO,Anthropology,3AC,1,Intro Soc/Cult Ac,Mather George,2372,5,84,103,51,93,30,8,13,1,,1,2,4,2,420
2015 Fall,Anthropology,ANTHRO,Anthropology,R5B,1,Reading & Comp,Corinne Hayden; Kamala Russell,2477,1,6,4,1,1,1,,,,,,,1,,15
2015 Fall,Anthropology,ANTHRO,Anthropology,R5B,2,Reading & Comp,Corinne Hayden; Erin Rodriguez,2480,6,4,3,1,,,,,,,,,,,14
2015 Fall,Anthropology,ANTHRO,Anthropology,R5B,3,Reading & Comp,Corinne Hayden; Katherine Chiou,2483,5,8,2,2,,,,,,,,,,,17
2015 Fall,Anthropology,ANTHRO,Anthropology,107,1,Evol Hum Brain,Terrence Deacon,2558,3,19,15,16,14,8,12,4,2,,,,2,1,102
2015 Fall,Anthropology,ANTHRO,Anthropology,112,2,Sp Topics: Bio Anth,Christopher Ames,2587,,4,9,9,6,6,6,1,,,1,,1,,43
2015 Fall,Anthropology,ANTHRO,Anthropology,121AC,1,Amercn Materl Cultr,Kimberly Christensen,2594,15,22,23,9,4,5,,,,,,,1,1,102
2015 Fall,Anthropology,ANTHRO,Anthropology,122F,1,Calif Archaeology,Kent Lightfoot,2609,7,35,16,15,8,3,2,,,,1,,,1,90
2015 Fall,Anthropology,ANTHRO,Anthropology,128M,1,Topics:Arch/Method,Jun Sunseri,2624,4,9,,3,2,,,,,,,,,1,20
2015 Fall,Anthropology,ANTHRO,Anthropology,C136K,1,Cultural Heritage,Margaret Conkey; Ruth Tringham,2636,7,23,9,1,,,,,,,,,,,42
2015 Fall,Anthropology,ANTHRO,Anthropology,138A,1,Ethnog Film History,Daniel Fisher,2648,1,7,7,15,3,,3,,,,,,,1,45
2015 Fall,Anthropology,ANTHRO,Anthropology,140,1,Anthro Of Food,Christine Hastorf; Stanley Brandes,2651,4,17,19,11,13,5,1,1,2,,,,,,82
2015 Fall,Anthropology,ANTHRO,Anthropology,141,1,Comparative Society,Xin Liu,2654,2,4,3,,,1,,,,,,,,1,13
2015 Fall,Anthropology,ANTHRO,Anthropology,150,1,Utopia: Art & Power,Alexei Yurchak,2669,2,4,16,5,10,5,,,,,,,2,,59
2015 Fall,Anthropology,ANTHRO,Anthropology,155,1,Modernity,Paul Rabinow,2672,2,8,16,6,3,1,3,,,,,,,,40
2015 Fall,Anthropology,ANTHRO,Anthropology,157,1,Anthropology Of Law,Laura Nader,2675,14,27,7,9,5,1,,1,1,,,1,3,,77
2015 Fall,Anthropology,ANTHRO,Anthropology,160AC,1,Forms Of Folklore,Charles Briggs,2678,62,83,5,4,1,1,2,1,,,,,4,5,191
2015 Fall,Anthropology,ANTHRO,Anthropology,162,1,Topics In Folklore,Ruth Goldstein,2698,,23,,2,,,,,,,,,,4,30
2015 Fall,Anthropology,ANTHRO,Anthropology,169B,1,Res Theo/Meth Soc,Mather George,2699,,7,6,3,2,1,,,,,,,,1,20
2015 Fall,Anthropology,ANTHRO,Anthropology,181,1,Middle East & Islam,Saba Mahmood,2714,4,2,17,10,3,1,,,,,,,1,,39
2015 Fall,Anthropology,ANTHRO,Anthropology,189,1,Spec Top:Soc/Cult,James Holston,2738,,16,7,2,2,,,,,,,,,3,32
2015 Fall,Anthropology,ANTHRO,Anthropology,189,3,Spec Top:Soc/Cult,Aihwa Ong,2744,3,4,2,,2,1,,,,,,,,,13
2015 Fall,Anthropology,ANTHRO,Anthropology,196,1,Undergrad Sem,Terrence Deacon,2909,,6,1,,,,,,,,,,,3,11
2015 Fall,Anthropology,ANTHRO,Anthropology,196,2,Undergrad Sem,Alexei Yurchak,2912,1,3,,1,2,,,,,,,,1,,10
2015 Fall,Architecture,ARCH,Architecture,11A,1,Intro Vis Rep Draw,Darell Fields,3753,,,1,8,12,8,4,4,5,1,1,2,2,2,50
2015 Fall,Architecture,ARCH,Architecture,11B,1,Intro To Design,Keith Plymale,3761,,3,2,8,1,2,,,,,,,1,,17
2015 Fall,Architecture,ARCH,Architecture,98,1,Directed Group Stdy,Galen Cranz; Ian Lai,3762,,,,,,,,,,,,,,,16
2015 Fall,Architecture,ARCH,Architecture,100A,1,Fund Of Arch Design,Lisa Iwamoto,3774,,12,14,16,22,18,15,3,6,1,1,1,2,4,116
2015 Fall,Architecture,ARCH,Architecture,100C,1,Arch Design Iii,Rene Davids,3837,,7,4,4,,,,,,,,,,,15
2015 Fall,Architecture,ARCH,Architecture,100C,2,Arch Design Iii,Carol Galante; Christopher Calott,3840,2,7,3,3,,,,,,,,,,,15
2015 Fall,Architecture,ARCH,Architecture,100C,3,Arch Design Iii,Jean Bourdier,3843,2,,4,5,2,,,,,,,,,,13
2015 Fall,Architecture,ARCH,Architecture,100C,4,Arch Design Iii,Keith Plymale,3846,,4,8,2,1,,,,,,,,,,15
2015 Fall,Architecture,ARCH,Architecture,100C,5,Arch Design Iii,Jacob Atherton,3849,,1,3,7,2,2,1,,,,,,,,16
2015 Fall,Architecture,ARCH,Architecture,102A,1,Capstone Prep Sem,Margaret Crawford,3852,,6,10,,,,,,,,,,,1,17
2015 Fall,Architecture,ARCH,Architecture,110AC,1,Soc/Cult Bas Dsgn,Galen Cranz,3855,,6,23,14,16,15,5,21,3,1,3,5,4,3,137
2015 Fall,Architecture,ARCH,Architecture,130,1,Intr Arch Des Th/Cr,C Crysler,3882,6,12,13,7,1,2,1,1,,,1,,,,46
2015 Fall,Architecture,ARCH,Architecture,150,1,Intro To Structures,R.Gary Black,3909,2,14,19,13,9,13,5,10,10,,,,1,,98
2015 Fall,Architecture,ARCH,Architecture,170A,1,"Hist, Arch&Urbanism",Andrew Shanken,3930,1,5,16,17,20,19,12,12,5,,1,,6,,116
