Grade Distribution for Spring 2015 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2014-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 3/16/2015,,,,,,,,,,, ,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2015 Spring,African American Studies,AFRICAM,African American Studies,R1A,1,Fresh Composition,Aparajita Nanda,503,,6,2,7,1,,1,1,,,,,,,,1,,,19
2015 Spring,African American Studies,AFRICAM,African American Studies,R1B,1,Freshmn Composition,Aparajita Nanda,509,2,4,4,6,3,,,,,,,,,,,,,,19
2015 Spring,African American Studies,AFRICAM,African American Studies,R1B,2,Freshmn Composition,Charisse Burden-Stelly; Nailah Suad-Bakari,515,,2,4,3,4,1,1,,,,,,,,,,,2,17
2015 Spring,African American Studies,AFRICAM,African American Studies,R1B,3,Freshmn Composition,Nailah Suad-Bakari,521,,4,3,4,1,1,,,,,,,,,,,,1,14
2015 Spring,African American Studies,AFRICAM,African American Studies,5B,1,Afam Life & Cul U S,Nikki Jones,527,6,17,11,6,2,4,1,,1,1,,,1,6,,,,,56
2015 Spring,African American Studies,AFRICAM,African American Studies,11B,1,Elementary Swahili,David Kyeu,548,2,3,6,,,,,,,,,,,,1,,,,12
2015 Spring,African American Studies,AFRICAM,African American Studies,24,2,Freshman Seminars,William Banks,562,,,,,,,,,,,,,,9,,1,,,10
2015 Spring,African American Studies,AFRICAM,African American Studies,28AC,1,Glob & Min Am Comm,Frederick Vincent,563,4,18,6,1,3,1,,,1,,,,,9,,1,,,44
2015 Spring,African American Studies,AFRICAM,African American Studies,112B,1,Pol/Eco Dev 3rd Wld,Kwame Nimako,611,,23,24,7,5,3,,2,2,,,,2,4,,,,,72
2015 Spring,African American Studies,AFRICAM,African American Studies,115,1,Lang Soc Iss Africa,Sam Mchombo,617,2,7,12,7,2,,,,,,,,,1,,,,,31
2015 Spring,African American Studies,AFRICAM,African American Studies,117,1,Afric Am:Indust Age,Ula Taylor,619,,2,2,4,2,5,2,1,1,,,,,2,,,,2,23
2015 Spring,African American Studies,AFRICAM,African American Studies,122,1,"Afam Family, Am Soc",Hardy Frye,620,1,12,10,7,4,1,,,,,,,3,3,,,,,41
2015 Spring,African American Studies,AFRICAM,African American Studies,126,1,Africn Am Women His,Ula Taylor,623,,5,3,3,3,5,,1,2,1,1,,,4,,2,,1,31
2015 Spring,African American Studies,AFRICAM,African American Studies,138,1,Black Nationalism,James Taylor,629,,10,6,4,4,2,1,1,1,,1,,2,,,1,,1,34
2015 Spring,African American Studies,AFRICAM,African American Studies,142AC,1,Race/American Film,Justin Gomer,782,1,5,10,5,4,7,7,,1,,,,1,13,,1,,2,57
2015 Spring,African American Studies,AFRICAM,African American Studies,153C,1,Toni Morrision,Darieck Scott,632,1,8,8,4,2,1,,,,,,,,,,,,1,25
2015 Spring,African American Studies,AFRICAM,African American Studies,156AC,1,Poetry 4 People:Int,Aya De Leon,635,3,17,5,2,1,,1,,,,,,,1,,,,2,32
2015 Spring,African American Studies,AFRICAM,African American Studies,157,1,Creative Writing,Darieck Scott,659,,8,,2,1,,,,,,,,,,,,,,11
